"timestamp","source","user_or_service","asset","severity","kill_chain_stage","scenario","status","alert_id","title","description","confidence","detection_rule","assigned_to","created_at","updated_at","incident_id","platform","environment","telemetry_type"
"2026-04-08T08:02:00Z","Okta","admin.user","workspace-admin-console","HIGH","Initial Access","identity_account_takeover","Under Investigation","ALT-1001","MFA failures from new Berlin IP","Novel sign-in starts the chain | artifact://okta/login-view","0.79","timeline_log","","2026-04-08T08:02:00Z","2026-04-08T08:02:00Z","INC-2001","Okta","prod","identity_authentication"
"2026-04-08T08:09:00Z","Okta","admin.user","workspace-admin-console","HIGH","Initial Access","identity_account_takeover","Under Investigation","ALT-1001","Successful login after MFA burst","Success after failures raises confidence | artifact://okta/session-chain","0.79","timeline_log","","2026-04-08T08:09:00Z","2026-04-08T08:09:00Z","INC-2001","Okta","prod","identity_authentication"
"2026-04-08T08:21:00Z","Google Workspace","admin.user","workspace-admin-console","HIGH","Privilege Escalation","identity_account_takeover","Under Investigation","ALT-1002","Privileged group change in Workspace","Follow-on admin action makes it material | artifact://google/admin-audit","0.79","timeline_log","","2026-04-08T08:21:00Z","2026-04-08T08:21:00Z","INC-2001","Google Workspace","prod","saas_audit"
"2026-04-08T12:31:00Z","AWS CloudTrail","aws-ci-user","lab-aws-account","HIGH","Discovery","aws_iam_key_misuse","New","ALT-1003","First-seen key enumerated IAM","Validate against automation baseline | artifact://aws/key-misuse","0.79","timeline_log","","2026-04-08T12:31:00Z","2026-04-08T12:31:00Z","INC-2002","AWS","prod","cloud_control_plane"
"2026-04-08T12:39:00Z","AWS CloudTrail","aws-ci-user","lab-aws-account","HIGH","Privilege Escalation","aws_iam_key_misuse","New","ALT-1003","AttachUserPolicy succeeded","Policy change crosses escalation threshold | artifact://aws/iam-policy-change","0.79","timeline_log","","2026-04-08T12:39:00Z","2026-04-08T12:39:00Z","INC-2002","AWS","prod","cloud_control_plane"
"2026-04-08T15:01:00Z","EKS Audit","app-runtime-sa","workload-demo-cluster","CRITICAL","Execution","eks_secret_access_chain","Escalated","ALT-1004","Unexpected token activity in critical-service namespace","Check whether rollout noise explains it | artifact://eks/token-activity","0.79","timeline_log","","2026-04-08T15:01:00Z","2026-04-08T15:01:00Z","INC-2003","AWS","prod","kubernetes_audit"
"2026-04-08T15:05:00Z","AWS CloudTrail","app-runtime-sa","critical-service-db-secret","CRITICAL","Credential Access","eks_secret_access_chain","Escalated","ALT-1004","Protected secret retrieved by workload","Secret access from this pod is abnormal | artifact://aws/getsecret","0.79","timeline_log","","2026-04-08T15:05:00Z","2026-04-08T15:05:00Z","INC-2003","AWS","prod","secrets_access"
"2026-04-08T15:06:00Z","AWS CloudTrail","app-runtime-sa","critical-service-kms-key","CRITICAL","Credential Access","eks_secret_access_chain","Escalated","ALT-1004","KMS decrypt followed secret access","Timing suggests the secret was used | artifact://aws/kms-decrypt","0.79","timeline_log","","2026-04-08T15:06:00Z","2026-04-08T15:06:00Z","INC-2003","AWS","prod","kms_access"
"2026-04-09T01:56:00Z","CrowdStrike","analyst.user","workstation-lab-22","CRITICAL","Execution","endpoint_to_mongodb_pivot","Escalated","ALT-1005","Office spawned PowerShell on finance host","This opens the endpoint chain | artifact://crowdstrike/process-tree","0.79","timeline_log","","2026-04-09T01:56:00Z","2026-04-09T01:56:00Z","INC-2004","CrowdStrike","prod","endpoint_detection"
"2026-04-09T01:58:00Z","CrowdStrike","analyst.user","workstation-lab-22","CRITICAL","Credential Access","endpoint_to_mongodb_pivot","Escalated","ALT-1005","LSASS access on same host","Credential theft risk justifies fast action | artifact://crowdstrike/lsass","0.79","timeline_log","","2026-04-09T01:58:00Z","2026-04-09T01:58:00Z","INC-2004","CrowdStrike","prod","endpoint_detection"
"2026-04-09T02:05:00Z","MongoDB","analyst.user","records-mongo-lab","CRITICAL","Lateral Movement","endpoint_to_mongodb_pivot","Escalated","ALT-1005","New MongoDB auth from compromised path","Database touch increases severity | artifact://mongodb/auth-log","0.79","timeline_log","","2026-04-09T02:05:00Z","2026-04-09T02:05:00Z","INC-2004","MongoDB","prod","database_access"
"2026-04-09T02:12:00Z","MongoDB","analyst.user","records-mongo-lab","CRITICAL","Collection","endpoint_to_mongodb_pivot","Escalated","ALT-1005","Collection export followed auth event","Endpoint plus DB export makes this likely true positive | artifact://mongodb/query-export","0.79","timeline_log","","2026-04-09T02:12:00Z","2026-04-09T02:12:00Z","INC-2004","MongoDB","prod","database_access"
"2026-04-09T02:19:00Z","CrowdStrike","analyst.user","workstation-lab-22","CRITICAL","Containment","endpoint_to_mongodb_pivot","Escalated","ALT-1005","Host containment requested","Containment before certainty is justified here | artifact://crowdstrike/containment","0.79","timeline_response_action","","2026-04-09T02:19:00Z","2026-04-09T02:19:00Z","INC-2004","CrowdStrike","prod","response_action"
"2026-04-09T10:28:00Z","AWS CloudTrail","svc-report-export","sensitive-reporting-bucket","HIGH","Collection","s3_data_access_exfiltration","New","ALT-1006","Sensitive bucket listed from new context","Check schedule and source before containment | artifact://aws/s3-list","0.79","timeline_log","","2026-04-09T10:28:00Z","2026-04-09T10:28:00Z","INC-2005","AWS","prod","object_storage_access"
"2026-04-09T10:33:00Z","AWS CloudTrail","svc-report-export","sensitive-reporting-bucket","HIGH","Exfiltration","s3_data_access_exfiltration","New","ALT-1006","Large object retrieval followed list burst","Data sensitivity determines escalation path | artifact://aws/s3-get","0.79","timeline_log","","2026-04-09T10:33:00Z","2026-04-09T10:33:00Z","INC-2005","AWS","prod","object_storage_access"


