timestamp,source,user_or_service,asset,severity,kill_chain_stage,scenario,status,timeline_id,event_summary,evidence_link,analyst_note,sequence_order,evidence_type,incident_id,alert_id,platform,environment,telemetry_type
2026-04-08T08:02:00Z,Okta,admin.user,workspace-admin-console,HIGH,Initial Access,identity_account_takeover,Under Investigation,TML-7001,MFA failures from new Berlin IP,artifact://okta/login-view,Novel sign-in starts the chain,1,log,INC-2001,ALT-1001,Okta,prod,identity_authentication
2026-04-08T08:09:00Z,Okta,admin.user,workspace-admin-console,HIGH,Initial Access,identity_account_takeover,Under Investigation,TML-7002,Successful login after MFA burst,artifact://okta/session-chain,Success after failures raises confidence,2,log,INC-2001,ALT-1001,Okta,prod,identity_authentication
2026-04-08T08:21:00Z,Google Workspace,admin.user,workspace-admin-console,HIGH,Privilege Escalation,identity_account_takeover,Under Investigation,TML-7003,Privileged group change in Workspace,artifact://google/admin-audit,Follow-on admin action makes it material,3,log,INC-2001,ALT-1002,Google Workspace,prod,saas_audit
2026-04-08T12:31:00Z,AWS CloudTrail,aws-ci-user,lab-aws-account,HIGH,Discovery,aws_iam_key_misuse,New,TML-7010,First-seen key enumerated IAM,artifact://aws/key-misuse,Validate against automation baseline,1,log,INC-2002,ALT-1003,AWS,prod,cloud_control_plane
2026-04-08T12:39:00Z,AWS CloudTrail,aws-ci-user,lab-aws-account,HIGH,Privilege Escalation,aws_iam_key_misuse,New,TML-7011,AttachUserPolicy succeeded,artifact://aws/iam-policy-change,Policy change crosses escalation threshold,2,log,INC-2002,ALT-1003,AWS,prod,cloud_control_plane
2026-04-08T15:01:00Z,EKS Audit,app-runtime-sa,workload-demo-cluster,CRITICAL,Execution,eks_secret_access_chain,Escalated,TML-7020,Unexpected token activity in critical-service namespace,artifact://eks/token-activity,Check whether rollout noise explains it,1,log,INC-2003,ALT-1004,AWS,prod,kubernetes_audit
2026-04-08T15:05:00Z,AWS CloudTrail,app-runtime-sa,critical-service-db-secret,CRITICAL,Credential Access,eks_secret_access_chain,Escalated,TML-7021,Protected secret retrieved by workload,artifact://aws/getsecret,Secret access from this pod is abnormal,2,log,INC-2003,ALT-1004,AWS,prod,secrets_access
2026-04-08T15:06:00Z,AWS CloudTrail,app-runtime-sa,critical-service-kms-key,CRITICAL,Credential Access,eks_secret_access_chain,Escalated,TML-7022,KMS decrypt followed secret access,artifact://aws/kms-decrypt,Timing suggests the secret was used,3,log,INC-2003,ALT-1004,AWS,prod,kms_access
2026-04-09T01:56:00Z,CrowdStrike,analyst.user,workstation-lab-22,CRITICAL,Execution,endpoint_to_mongodb_pivot,Escalated,TML-7030,Office spawned PowerShell on finance host,artifact://crowdstrike/process-tree,This opens the endpoint chain,1,log,INC-2004,ALT-1005,CrowdStrike,prod,endpoint_detection
2026-04-09T01:58:00Z,CrowdStrike,analyst.user,workstation-lab-22,CRITICAL,Credential Access,endpoint_to_mongodb_pivot,Escalated,TML-7031,LSASS access on same host,artifact://crowdstrike/lsass,Credential theft risk justifies fast action,2,log,INC-2004,ALT-1005,CrowdStrike,prod,endpoint_detection
2026-04-09T02:05:00Z,MongoDB,analyst.user,records-mongo-lab,CRITICAL,Lateral Movement,endpoint_to_mongodb_pivot,Escalated,TML-7032,New MongoDB auth from compromised path,artifact://mongodb/auth-log,Database touch increases severity,3,log,INC-2004,ALT-1005,MongoDB,prod,database_access
2026-04-09T02:12:00Z,MongoDB,analyst.user,records-mongo-lab,CRITICAL,Collection,endpoint_to_mongodb_pivot,Escalated,TML-7033,Collection export followed auth event,artifact://mongodb/query-export,Endpoint plus DB export makes this likely true positive,4,log,INC-2004,ALT-1005,MongoDB,prod,database_access
2026-04-09T02:19:00Z,CrowdStrike,analyst.user,workstation-lab-22,CRITICAL,Containment,endpoint_to_mongodb_pivot,Escalated,TML-7034,Host containment requested,artifact://crowdstrike/containment,Containment before certainty is justified here,5,response_action,INC-2004,ALT-1005,CrowdStrike,prod,response_action
2026-04-09T10:28:00Z,AWS CloudTrail,svc-report-export,sensitive-reporting-bucket,HIGH,Collection,s3_data_access_exfiltration,New,TML-7040,Sensitive bucket listed from new context,artifact://aws/s3-list,Check schedule and source before containment,1,log,INC-2005,ALT-1006,AWS,prod,object_storage_access
2026-04-09T10:33:00Z,AWS CloudTrail,svc-report-export,sensitive-reporting-bucket,HIGH,Exfiltration,s3_data_access_exfiltration,New,TML-7041,Large object retrieval followed list burst,artifact://aws/s3-get,Data sensitivity determines escalation path,2,log,INC-2005,ALT-1006,AWS,prod,object_storage_access


